# s_m, x_m, y_m, vx_mps
70.930435,4.7952358,-1.9891403,4.1672535
70.9604268,4.8121718,-1.964388,4.1809742
70.9904185,4.8292288,-1.9397186,4.1946558
71.0204102,4.8464056,-1.9151319,4.2082995
71.050402,4.8637009,-1.890628,4.2219056
71.0803937,4.8811133,-1.866207,4.2354742
71.1103854,4.8986416,-1.841869,4.2490048
71.1403771,4.9162844,-1.8176141,4.2624968
71.1703689,4.9340405,-1.7934423,4.2759491
71.2003606,4.9519089,-1.7693536,4.28936
71.2303523,4.9698883,-1.7453482,4.3027275
71.260344,4.9879777,-1.7214262,4.3160493
71.2903358,5.0061762,-1.6975875,4.3293223
71.3203275,5.0244828,-1.6738325,4.3425433
71.3503192,5.0428967,-1.6501612,4.3557083
71.380311,5.0614172,-1.6265738,4.3688129
71.4103027,5.0800445,-1.6030697,4.3818521
71.4402944,5.0987798,-1.5796467,4.3948201
71.4702861,5.1176204,-1.5563085,4.407711
71.5002779,5.1365657,-1.5330555,4.4205173
71.5302696,5.1556156,-1.5098884,4.433233
71.5602613,5.17477,-1.4868078,4.4458455
71.590253,5.1940286,-1.4638147,4.458359
71.6202448,5.2133923,-1.4409096,4.4707297
71.6502365,5.2328599,-1.4180943,4.4830298
71.6802282,5.2524306,-1.3953734,4.495089
71.71022,5.2721084,-1.3727448,4.5069501
71.7402117,5.2918906,-1.3502028,4.5191052
71.7702034,5.311767,-1.3277436,4.5317735
71.8001951,5.3317295,-1.3053613,4.5449415
71.8301869,5.3517705,-1.2830491,4.558616
71.8601786,5.3718822,-1.2608006,4.5728053
71.8901703,5.3920576,-1.2386097,4.5874655
71.920162,5.4122922,-1.2164728,4.6023799
71.9501538,5.4325837,-1.194388,4.6173769
71.9801455,5.4529309,-1.1723544,4.6323898
72.0101372,5.4733327,-1.1503714,4.6473914
72.040129,5.4937882,-1.1284384,4.6623794
72.0701207,5.5142966,-1.1065548,4.6773574
72.1001124,5.5348568,-1.0847198,4.6923286
72.1301041,5.5554679,-1.0629329,4.7072961
72.1600959,5.5761289,-1.0411933,4.7222628
72.1900876,5.5968387,-1.0195001,4.7372315
72.2200793,5.6175964,-0.9978527,4.7522048
72.250071,5.6384009,-0.9762503,4.7671852
72.2800628,5.659251,-0.954692,4.782175
