# s_m, x_m, y_m, vx_mps
126.9404062,230.9527342,90.6908477,20.0
127.9399369,231.7640399,91.2746663,20.0
128.9394677,232.577092,91.8560502,20.0
129.9389985,233.3918939,92.4349794,20.0
130.9385292,234.2084485,93.0114339,20.0
131.93806,235.0267586,93.5853935,20.0
132.9375907,235.846827,94.1568381,20.0
133.9371215,236.6686561,94.7257476,20.0
134.9366522,237.4922484,95.2921016,20.0
135.936183,238.317606,95.8558799,20.0
136.9357138,239.1447309,96.4170622,20.0
137.9352445,239.973622,96.9756323,20.0
138.9347753,240.8042603,97.5316019,20.0
139.934306,241.6365924,98.0850266,20.0
140.9338368,242.4705548,98.6359793,20.0
141.9333675,243.3061051,99.1845291,20.0
142.9328983,244.1432104,99.7307123,20.0
143.9324291,244.9818303,100.2745641,20.0
144.9319598,245.8219324,100.8161248,20.0
145.9314906,246.6634821,101.3554331,20.0
146.9310213,247.5064462,101.8925284,20.0
147.9305521,248.3507915,102.4274498,20.0
148.9300828,249.1964854,102.9602367,20.0
149.9296136,250.0434958,103.4909284,20.0
150.9291444,250.8917907,104.0195647,20.0
151.9286751,251.7413388,104.546185,20.0
152.9282059,252.5921087,105.0708291,20.0
153.9277366,253.4440698,105.5935369,20.0
154.9272674,254.2971916,106.1143484,20.0
155.9267981,255.1514439,106.6333037,20.0
156.9263289,256.0067967,107.1504432,20.0
157.9258597,256.8632206,107.6658072,20.0
158.9253904,257.7206861,108.1794364,20.0
159.9249212,258.5791643,108.6913714,20.0
160.9244519,259.4386263,109.2016532,20.0
161.9239827,260.2990436,109.7103226,20.0
162.9235134,261.1603878,110.217421,20.0
163.9230442,262.022631,110.7229895,20.0
164.922575,262.8857452,111.2270695,20.0
165.9221057,263.7497028,111.7297027,20.0
166.9216365,264.6144765,112.2309307,20.0
167.9211672,265.480039,112.7307953,20.0
168.920698,266.3463634,113.2293384,20.0
169.9202288,267.2134228,113.726602,20.0
170.9197595,268.0811908,114.2226283,20.0
171.9192903,268.9496408,114.7174594,20.0
172.918821,269.8187467,115.2111377,20.0
173.9183518,270.6884824,115.7037054,20.0
174.9178825,271.5588222,116.1952052,20.0
175.9174133,272.4297403,116.6856793,20.0
176.9169441,273.3012113,117.1751704,20.0
177.9164748,274.1732098,117.6637211,20.0
178.9160056,275.0457108,118.1513739,20.0
179.9155363,275.9186891,118.6381715,20.0
180.9150671,276.7921201,119.1241565,20.0
181.9145978,277.665979,119.6093715,20.0
182.9141286,278.5402413,120.0938592,20.0
183.9136594,279.4148827,120.5776621,20.0
184.9131901,280.289879,121.0608228,20.0
185.9127209,281.1652057,121.5433836,20.0
186.9122516,282.0408414,122.0253882,20.0
187.9117824,282.9167622,122.50688,20.0
188.9113131,283.7929278,122.9879173,20.0
189.9108439,284.6692916,123.4685883,20.0
190.9103747,285.5458078,123.9489832,20.0
191.9099054,286.4224267,124.42919,20.0
192.9094362,287.2991001,124.9092977,20.0
193.9089669,288.1757792,125.3893948,20.0
194.9084977,289.0524156,125.8695699,20.0
195.9080284,289.9289607,126.3499117,19.8551236
