 x_m, y_m, vx_mps
0.0249499,5.4164519,4.5146981
0.0249489,5.4464446,4.5212097
0.0249478,5.4764374,4.5276925
0.0249466,5.5064302,4.5341466
0.0249451,5.536423,4.5405722
0.0249435,5.5664158,4.5469694
0.0249416,5.5964086,4.5533386
0.0249396,5.6264014,4.5596798
0.0249373,5.6563943,4.5659932
0.0249348,5.6863871,4.572279
0.024932,5.71638,4.5785373
0.024929,5.7463728,4.5847684
0.0249257,5.7763657,4.5909724
0.0249222,5.8063586,4.5971494
0.0249184,5.8363515,4.6032996
0.0249144,5.8663444,4.6094232
0.0249101,5.8963371,4.6155204
0.0249055,5.9263297,4.6215913
0.0249007,5.9563223,4.627636
0.0248956,5.986315,4.6336548
0.0248902,6.0163076,4.6396477
0.0248846,6.0463003,4.645615
0.0248787,6.076293,4.6515567
0.0248726,6.1062857,4.6574731
0.0248663,6.1362784,4.6633643
0.0248597,6.1662712,4.6692304
0.0248529,6.1962639,4.6750716
0.0248458,6.2262567,4.6808879
0.0248386,6.2562494,4.6866797
0.0248312,6.2862422,4.692447
0.0248235,6.316235,4.6981899
0.0248157,6.3462278,4.7039087
0.0248077,6.3762206,4.7096033
0.0247996,6.4062134,4.7152741
0.0247913,6.4362063,4.720921
0.0247829,6.4661991,4.7265443
0.0247743,6.496192,4.7321441
0.0247657,6.5261848,4.7377205
0.024757,6.5561777,4.7432736
0.0247482,6.5861706,4.7488036
0.0247394,6.6161632,4.7543107
0.0247306,6.6461558,4.7597948
0.0247217,6.6761485,4.7652563
0.0247129,6.7061411,4.7706951
0.0247041,6.7361338,4.7761115
0.0246954,6.7661265,4.7815055
0.0246867,6.7961192,4.7868772
0.0246781,6.8261119,4.7922269
0.0246697,6.8561046,4.7975546
0.0246614,6.8860974,4.8028604
0.0246533,6.9160901,4.8081445
0.0246455,6.9460829,4.813407
0.0246378,6.9760756,4.8186479
0.0246304,7.0060684,4.8238675
0.0246233,7.0360612,4.8290658
0.0246166,7.066054,4.8342429
0.0246101,7.0960469,4.839399
0.0246041,7.1260397,4.8445342
0.0245985,7.1560326,4.8496485
0.0245934,7.1860255,4.8547422
0.0245888,7.2160184,4.8598153
